epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,664.79,1.13696,3.48036,1.34064,0.52587,0.36372,0.29478,0.17874,1.33581,4.59085,1.61146,0.000472831,0.000472831,0.000472831
2,1394.18,1.24535,2.83874,1.40786,0.54186,0.42391,0.27863,0.17497,1.3195,3.71578,1.61202,0.00076123,0.00076123,0.00076123
3,2097.56,1.27453,2.43422,1.44265,0.50335,0.46383,0.30257,0.18627,1.33555,2.86955,1.58318,0.000861001,0.000861001,0.000861001
4,2808.33,1.19187,2.09427,1.36808,0.56662,0.56208,0.37256,0.26693,1.09652,2.22766,1.40876,0.000580174,0.000580174,0.000580174
5,3679.89,1.0668,1.86131,1.28691,0.33032,0.83712,0.37937,0.29751,0.91037,1.77379,1.27319,0.000297232,0.000297232,0.000297232
