epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11723.2,0.86938,1.29178,1.18944,0.31977,0.91162,0.38307,0.31677,0.79199,1.21102,1.18647,0.000848969,0.000848969,0.000848969
43,12001.3,0.8698,1.26493,1.18864,0.30479,0.88784,0.35381,0.29241,0.76923,1.20323,1.17698,0.000834822,0.000834822,0.000834822
44,12279.8,0.84787,1.25866,1.18707,0.32898,0.91933,0.35939,0.29497,0.7785,1.18752,1.17665,0.000820675,0.000820675,0.000820675
45,12558.6,0.86588,1.28366,1.18547,0.32038,0.94365,0.36127,0.29752,0.79357,1.19859,1.20205,0.000806528,0.000806528,0.000806528
46,12837.4,0.81317,1.21949,1.1596,0.32234,0.94643,0.35417,0.29505,0.74988,1.19386,1.15941,0.00079238,0.00079238,0.00079238
47,13115.9,0.83879,1.24973,1.16981,0.32543,0.95889,0.36444,0.30453,0.77201,1.16202,1.18875,0.000778233,0.000778233,0.000778233
48,13394.3,0.8235,1.25323,1.16391,0.33631,0.95798,0.37174,0.3116,0.75436,1.18383,1.17929,0.000764086,0.000764086,0.000764086
49,13672.8,0.80753,1.228,1.15309,0.31383,0.89829,0.35707,0.29443,0.7529,1.16333,1.18649,0.000749939,0.000749939,0.000749939
50,13951.8,0.81886,1.20368,1.15095,0.32017,0.91933,0.36367,0.30064,0.79608,1.176,1.19237,0.000735792,0.000735792,0.000735792
51,14230,0.81891,1.25881,1.14904,0.33497,0.94787,0.37605,0.31238,0.78647,1.15787,1.1947,0.000721645,0.000721645,0.000721645
52,14508.9,0.80629,1.25612,1.15076,0.31351,0.89675,0.38238,0.32395,0.7651,1.18586,1.16767,0.000707498,0.000707498,0.000707498
53,14787.4,0.80569,1.23629,1.15,0.32383,0.92242,0.37854,0.31509,0.74552,1.15671,1.17493,0.000693351,0.000693351,0.000693351
54,15066.1,0.80697,1.2402,1.15796,0.31349,0.86609,0.36811,0.30503,0.78097,1.15617,1.22294,0.000679204,0.000679204,0.000679204
55,15344.6,0.79099,1.20151,1.14887,0.31311,0.8952,0.38568,0.32066,0.78911,1.18155,1.21006,0.000665057,0.000665057,0.000665057
56,15622.8,0.79427,1.21435,1.15278,0.32181,0.8952,0.38778,0.32096,0.75348,1.1608,1.16506,0.000650909,0.000650909,0.000650909
57,15901.2,0.79951,1.2193,1.16266,0.3287,0.92385,0.37766,0.31176,0.74532,1.13986,1.1652,0.000636762,0.000636762,0.000636762
58,16179.8,0.74198,1.17262,1.12041,0.33452,0.92551,0.3591,0.30146,0.7338,1.1598,1.16303,0.000622615,0.000622615,0.000622615
59,16458.5,0.75735,1.19117,1.13176,0.33257,0.92705,0.37163,0.31117,0.73365,1.1417,1.16483,0.000608468,0.000608468,0.000608468
60,16737.2,0.76321,1.18771,1.12703,0.34003,0.90199,0.39471,0.33209,0.72957,1.12588,1.1629,0.000594321,0.000594321,0.000594321
61,17015.6,0.75826,1.17404,1.11762,0.32967,0.82257,0.38339,0.32342,0.72773,1.12459,1.16237,0.000580174,0.000580174,0.000580174
62,17294.4,0.75888,1.17618,1.12694,0.324,0.8649,0.3842,0.3283,0.73769,1.12878,1.17961,0.000566027,0.000566027,0.000566027
63,17572.8,0.76802,1.24589,1.13052,0.33469,0.86644,0.37128,0.31514,0.75075,1.13807,1.18337,0.00055188,0.00055188,0.00055188
64,17851.4,0.75061,1.19848,1.13033,0.32424,0.8649,0.36415,0.30567,0.74014,1.1501,1.17595,0.000537733,0.000537733,0.000537733
65,18129.8,0.7405,1.17472,1.11145,0.33859,0.95118,0.36122,0.30478,0.7257,1.11935,1.1686,0.000523586,0.000523586,0.000523586
66,18408.5,0.73105,1.14119,1.1075,0.33736,0.92703,0.35579,0.30105,0.69702,1.12505,1.13715,0.000509438,0.000509438,0.000509438
67,18686.8,0.7298,1.17125,1.11261,0.32506,0.86866,0.36252,0.30776,0.73549,1.1118,1.18138,0.000495291,0.000495291,0.000495291
68,18965.6,0.70228,1.13527,1.09178,0.3349,0.94964,0.36332,0.30689,0.68671,1.1218,1.14388,0.000481144,0.000481144,0.000481144
69,19243.7,0.70887,1.1283,1.10431,0.33029,0.89212,0.3717,0.31935,0.69665,1.11475,1.1489,0.000466997,0.000466997,0.000466997
70,19522.6,0.70845,1.13952,1.09908,0.33577,0.92396,0.36732,0.31391,0.69617,1.10479,1.1475,0.00045285,0.00045285,0.00045285
71,19802.1,0.70072,1.1343,1.0976,0.3352,0.90589,0.36051,0.30757,0.68902,1.09771,1.13433,0.000438703,0.000438703,0.000438703
